Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
1,29/08/2023,14:08,50,R,5,75,0.8,Off,50,5,230,853,623,0.73,2.708,20
2,29/08/2023,14:08,50,R,5,75,0.8,Off,50,5,229,854,625,0.731,2.729,20
3,29/08/2023,14:09,50,R,5,75,0.8,Off,50,5,218,824,606,0.735,2.779,20
4,29/08/2023,14:09,50,R,6,75,0.8,Off,50,5,236,894,658,0.736,2.788,20
5,29/08/2023,14:10,50,R,6,75,0.8,Off,50,5,220,844,624,0.739,2.836,20
6,29/08/2023,14:10,50,R,5,75,0.8,Off,50,5,240,990,750,0.757,3.125,20
7,29/08/2023,14:11,50,R,6,75,0.8,Off,50,5,223,865,642,0.742,2.878,20
8,29/08/2023,14:11,50,R,6,75,0.8,Off,50,5,210,866,656,0.757,3.123,20
1,29/08/2023,14:12,50,R,5,75,0.8,Off,50,5,235,909,674,0.741,2.868,37
2,29/08/2023,14:12,50,R,5,75,0.8,Off,50,5,222,824,602,0.73,2.711,37
3,29/08/2023,14:13,50,R,5,75,0.8,Off,50,5,201,792,591,0.746,2.94,37
4,29/08/2023,14:13,50,R,7,75,0.8,Off,50,5,211,829,618,0.745,2.928,37
5,29/08/2023,14:14,50,R,7,75,0.8,Off,50,5,212,780,568,0.728,2.679,37
6,29/08/2023,14:14,50,R,7,75,0.8,Off,50,5,212,780,568,0.728,2.679,37
7,29/08/2023,14:14,50,R,5,75,0.8,Off,50,5,247,948,701,0.739,2.838,37
8,29/08/2023,14:15,50,R,5,75,0.8,Off,50,5,238,912,674,0.739,2.831,37
1,29/08/2023,14:15,50,R,5,75,0.8,Off,50,5,205,803,598,0.744,2.917,41
2,29/08/2023,14:16,50,R,5,75,0.8,Off,50,5,203,755,552,0.731,2.719,41
3,29/08/2023,14:17,50,R,8,75,0.8,Off,50,5,222,825,603,0.73,2.716,41
4,29/08/2023,14:17,50,R,5,75,0.8,Off,50,5,231,899,668,0.743,2.891,41
5,29/08/2023,14:17,50,R,5,75,0.8,Off,50,5,209,894,685,0.766,3.277,41
6,29/08/2023,14:18,50,R,5,75,0.8,Off,50,5,201,739,538,0.728,2.676,41
7,29/08/2023,14:18,50,R,5,75,0.8,Off,50,5,224,865,641,0.741,2.861,41
8,29/08/2023,14:19,50,R,5,75,0.8,Off,50,5,235,882,647,0.733,2.753,41
1,29/08/2023,14:19,50,R,6,75,0.8,Off,50,5,202,795,593,0.745,2.935,45
2,29/08/2023,14:20,50,R,5,75,0.8,Off,50,5,204,800,596,0.745,2.921,45
3,29/08/2023,14:20,50,R,5,75,0.8,Off,50,5,227,862,635,0.736,2.797,45
4,29/08/2023,14:21,50,R,5,75,0.8,Off,50,5,232,848,616,0.726,2.655,45
5,29/08/2023,14:21,50,R,5,75,0.8,Off,50,5,224,871,647,0.742,2.888,45
6,29/08/2023,14:22,50,R,5,75,0.8,Off,50,5,209,788,579,0.734,2.77,45
7,29/08/2023,14:22,50,R,4,75,0.8,Off,50,5,231,774,543,0.701,2.35,45
8,29/08/2023,14:23,50,R,7,75,0.8,Off,50,5,214,732,518,0.707,2.42,45
1,29/08/2023,14:23,50,R,7,75,0.8,Off,50,5,211,832,621,0.746,2.943,49
2,29/08/2023,14:24,50,R,4,75,0.8,Off,50,5,235,263,28,0.106,0.119,49
3,29/08/2023,14:25,50,R,4,75,0.8,Off,50,5,268,323,55,0.17,0.205,49
4,29/08/2023,14:25,50,R,4,75,0.8,Off,50,5,203,263,60,0.228,0.295,49
5,29/08/2023,14:25,50,R,7,75,0.8,Off,50,5,253,294,41,0.139,0.162,49
6,29/08/2023,14:26,50,R,7,75,0.8,Off,50,5,226,480,254,0.529,1.123,49
7,29/08/2023,14:26,50,R,7,75,0.8,Off,50,5,251,662,411,0.62,1.637,49
8,29/08/2023,14:27,50,R,9,75,0.8,Off,50,5,225,373,148,0.396,0.657,49
1,29/08/2023,14:27,50,R,5,75,0.8,Off,50,5,221,270,49,0.181,0.221,53
2,29/08/2023,14:28,50,R,5,75,0.8,Off,50,5,209,795,586,0.737,2.803,53
3,29/08/2023,14:28,50,R,3,75,0.8,Off,50,5,218,296,78,0.263,0.357,53
4,29/08/2023,14:29,50,R,9,75,0.8,Off,50,5,282,286,4,0.013,0.014,53
5,29/08/2023,14:29,50,R,5,75,0.8,Off,50,5,215,316,101,0.319,0.469,53
6,29/08/2023,14:30,50,R,5,75,0.8,Off,50,5,238,238,0,0,0,53
7,29/08/2023,14:30,50,R,5,75,0.8,Off,50,5,230,230,0,0,0,53
8,29/08/2023,14:30,50,R,5,75,0.8,Off,50,5,243,247,4,0.016,0.016,53
1,29/08/2023,14:31,50,R,5,75,0.8,Off,50,5,234,234,0,0,0,57
2,29/08/2023,14:32,50,R,5,75,0.8,Off,50,5,227,227,0,0,0,57
3,29/08/2023,14:32,50,R,5,75,0.8,Off,50,5,242,242,0,0,0,57
4,29/08/2023,14:32,50,R,5,75,0.8,Off,50,5,216,216,0,0,0,57
5,29/08/2023,14:33,50,R,5,75,0.8,Off,50,5,231,779,548,0,2.372,57
6,29/08/2023,14:33,50,R,5,75,0.8,Off,50,5,249,249,0,0,0,57
7,29/08/2023,14:34,50,R,5,75,0.8,Off,50,5,225,225,0,0,0,57
8,29/08/2023,14:34,50,R,5,75,0.8,Off,50,5,199,249,50,0,0.251,57
1,29/08/2023,14:35,50,R,6,75,0.8,Off,50,5,253,253,0,0,0,60
2,29/08/2023,14:35,50,R,4,75,0.8,Off,50,5,228,228,0,0,0,60
3,29/08/2023,14:36,50,R,4,75,0.8,Off,50,5,212,214,2,0,0.009,60
4,29/08/2023,14:36,50,R,4,75,0.8,Off,50,5,202,202,0,0,0,60
5,29/08/2023,14:36,50,R,4,75,0.8,Off,50,5,251,251,0,0,0,60
6,29/08/2023,14:37,50,R,4,75,0.8,Off,50,5,258,259,1,0,0.003,60
7,29/08/2023,14:37,50,R,4,75,0.8,Off,50,5,222,223,1,0,0.004,60
8,29/08/2023,14:37,50,R,4,75,0.8,Off,50,5,273,273,0,0,0,60
