Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
1, 7/27,13:46,50,R,4,75,0.8,Off,50,5,211,794,583,0.734,2.763,20
2, 7/27,13:46,50,R,4,75,0.8,Off,50,5,211,675,464,0.687,2.199,20
3, 7/27,13:46,50,R,4,75,0.8,Off,50,5,253,924,671,0.726,2.652,20
4, 7/27,13:46,50,R,4,75,0.8,Off,50,5,222,843,621,0.736,2.797,20
5, 7/27,13:47,50,R,4,75,0.8,Off,50,5,232,866,634,0.732,2.732,20
6, 7/27,13:47,50,R,4,75,0.8,Off,50,5,232,866,634,0.733,2.732,20
7, 7/27,13:47,50,R,4,75,0.8,Off,50,5,258,971,713,0.734,2.763,20
8, 7/27,13:48,50,R,4,75,0.8,Off,50,5,220,739,519,0.702,2.359,20
1, 7/27,13:48,50,R,5,75,0.8,Off,50,5,237,678,441,0.65,1.86,37
2, 7/27,13:49,50,R,5,75,0.8,Off,50,5,216,812,596,0.733,2.759,37
3, 7/27,13:49,50,R,5,75,0.8,Off,50,5,207,730,523,0.716,2.526,37
4, 7/27,13:49,50,R,5,75,0.8,Off,50,5,230,821,591,0.719,2.569,37
5, 7/27,13:49,50,R,5,75,0.8,Off,50,5,229,845,616,0.728,2.689,37
6, 7/27,13:50,50,R,5,75,0.8,Off,50,5,220,806,586,0.727,2.663,37
7, 7/27,13:50,50,R,4,75,0.8,Off,50,5,251,925,674,0.728,2.685,37
8, 7/27,13:51,50,R,4,75,0.8,Off,50,5,217,778,561,0.721,2.585,37
1, 7/27,13:51,50,R,5,75,0.8,Off,50,5,223,665,442,0.664,1.982,41
2, 7/27,13:52,50,R,6,75,0.8,Off,50,5,223,821,598,0.728,2.681,41
3, 7/27,13:52,50,R,5,75,0.8,Off,50,5,215,832,617,0.741,2.869,41
4, 7/27,13:53,50,R,5,75,0.8,Off,50,5,245,944,699,0.74,2.853,41
5, 7/27,13:53,50,R,5,75,0.8,Off,50,5,238,812,574,0.706,2.411,41
6, 7/27,13:53,50,R,4,75,0.8,Off,50,5,223,778,555,0.713,2.488,41
7, 7/27,13:54,50,R,4,75,0.8,Off,50,5,208,733,525,0.716,2.524,41
8, 7/27,13:54,50,R,4,75,0.8,Off,50,5,269,831,562,0.676,2.089,41
1, 7/27,13:55,50,R,5,75,0.8,Off,50,5,234,699,465,0.665,1.987,45
2, 7/27,13:55,50,R,5,75,0.8,Off,50,5,234,406,172,0.423,0.735,45
3, 7/27,13:56,50,R,3,75,0.8,Off,50,5,250,671,421,0.627,1.684,45
4, 7/27,13:56,50,R,5,75,0.8,Off,50,5,220,646,426,0.659,1.936,45
5, 7/27,13:57,50,R,4,75,0.8,Off,50,5,252,644,392,0.608,1.555,45
6, 7/27,13:57,50,R,4,75,0.8,Off,50,5,214,500,286,0.572,1.336,45
