Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
7, 7/27,13:57,50,R,3,75,0.8,Off,50,5,255,880,625,0.71,2.45,45
8, 7/27,13:58,50,R,3,75,0.8,Off,50,5,223,729,506,0.694,2.269,45
1, 7/27,13:58,50,R,8,75,0.8,Off,50,5,233,514,281,0.546,1.206,49
2, 7/27,14:00,50,R,4,75,0.8,Off,50,5,262,358,96,0.268,0.366,49
3, 7/27,14:00,50,R,4,75,0.8,Off,50,5,217,281,64,0.227,0.294,49
4, 7/27,14:00,50,R,4,75,0.8,Off,50,5,231,391,160,0.409,0.692,49
5, 7/27,14:01,50,R,4,75,0.8,Off,50,5,227,305,78,0.255,0.343,49
6, 7/27,14:01,50,R,5,75,0.8,Off,50,5,217,327,110,0.336,0.506,49
7, 7/27,14:02,50,R,4,75,0.8,Off,50,5,243,331,88,0.265,0.362,49
8, 7/27,14:02,50,R,4,75,0.8,Off,50,5,222,280,58,0.207,0.261,49
1, 7/27,14:03,50,R,4,75,0.8,Off,50,5,223,223,0,0,0,53
2, 7/27,14:04,50,R,4,75,0.8,Off,50,5,235,235,0,0,0,53
3, 7/27,14:04,50,R,4,75,0.8,Off,50,5,234,234,0,0,0,53
4, 7/27,14:04,50,R,3,75,0.8,Off,50,5,254,254,0,0,0,53
5, 7/27,14:05,50,R,4,75,0.8,Off,50,5,207,207,0,0,0,53
6, 7/27,14:05,50,R,4,75,0.8,Off,50,5,242,242,0,0,0,53
7, 7/27,14:05,50,R,4,75,0.8,Off,50,5,244,244,0,0,0,53
8, 7/27,14:05,50,R,4,75,0.8,Off,50,5,244,244,0,0,0,53
1, 7/27,14:06,50,R,4,75,0.8,Off,50,5,241,241,0,0,0,57
2, 7/27,14:06,50,R,3,75,0.8,Off,50,5,223,223,0,0,0,57
3, 7/27,14:07,50,R,4,75,0.8,Off,50,5,218,218,0,0,0,57
4, 7/27,14:07,50,R,4,75,0.8,Off,50,5,217,217,0,0,0,57
5, 7/27,14:07,50,R,3,75,0.8,Off,50,5,226,226,0,0,0,57
6, 7/27,14:08,50,R,3,75,0.8,Off,50,5,224,224,0,0,0,57
7, 7/27,14:08,50,R,8,75,0.8,Off,50,5,221,221,0,0,0,57
8, 7/27,14:09,50,R,4,75,0.8,Off,50,5,233,233,0,0,0,57
1, 7/27,14:09,50,R,4,75,0.8,Off,50,5,249,249,0,0,0,60
2, 7/27,14:10,50,R,3,75,0.8,Off,50,5,248,248,0,0,0,60
3, 7/27,14:10,50,R,4,75,0.8,Off,50,5,200,200,0,0,0,60
4, 7/27,14:11,50,R,4,75,0.8,Off,50,5,211,211,0,0,0,60
5, 7/27,14:11,50,R,4,75,0.8,Off,50,5,267,267,0,0,0,60
6, 7/27,14:11,50,R,4,75,0.8,Off,50,5,262,262,0,0,0,60
7, 7/27,14:12,50,R,4,75,0.8,Off,50,5,248,248,0,0,0,60
8, 7/27,14:12,50,R,4,75,0.8,Off,50,5,236,236,0,0,0,60
