Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
1,28/08/2023,12:19,50,R,6,75,0.8,Off,50,5,211,779,568,0.729,2.691,20
2,28/08/2023,12:20,50,R,6,75,0.8,Off,50,5,210,772,562,0.727,2.676,20
3,28/08/2023,12:20,50,R,5,75,0.8,Off,50,5,226,719,493,0.685,2.181,20
4,28/08/2023,12:21,50,R,6,75,0.8,Off,50,5,229,885,656,0.741,2.864,20
5,28/08/2023,12:21,50,R,5,75,0.8,Off,50,5,223,760,537,0.706,2.408,20
6,28/08/2023,12:21,50,R,5,75,0.8,Off,50,5,223,760,537,0.716,2.408,20
7,28/08/2023,12:22,50,R,5,75,0.8,Off,50,5,204,767,563,0.734,2.759,20
8,28/08/2023,12:22,50,R,5,75,0.8,Off,50,5,212,788,576,0.73,2.716,20
1,28/08/2023,12:23,50,R,4,75,0.8,Off,50,5,220,648,428,0.66,1.945,37
2,28/08/2023,12:49,50,R,4,75,0.8,Off,50,5,202,478,276,0.577,1.366,37
3,28/08/2023,12:49,50,R,8,75,0.8,Off,50,5,200,522,322,0.616,1.61,37
4,28/08/2023,12:50,50,R,7,75,0.8,Off,50,5,232,725,493,0.68,2.125,37
5,28/08/2023,12:50,50,R,7,75,0.8,Off,50,5,226,744,518,0.696,2.292,37
6,28/08/2023,12:51,50,R,4,75,0.8,Off,50,5,215,597,382,0.639,1.776,37
7,28/08/2023,12:51,50,R,5,75,0.8,Off,50,5,242,654,412,0.629,1.702,37
8,28/08/2023,12:52,50,R,6,75,0.8,Off,50,5,232,903,671,0.743,2.892,37
1,28/08/2023,12:52,50,R,4,75,0.8,Off,50,5,222,865,643,0.743,2.896,41
2,28/08/2023,13:18,50,R,4,75,0.8,Off,50,5,218,329,111,0.337,0.509,41
3,28/08/2023,13:18,50,R,5,75,0.8,Off,50,5,210,367,157,0.427,0.747,41
4,28/08/2023,13:19,50,R,5,75,0.8,Off,50,5,200,396,196,0.494,0.98,41
5,28/08/2023,13:19,50,R,4,75,0.8,Off,50,5,205,475,270,0.568,1.317,41
6,28/08/2023,13:20,50,R,5,75,0.8,Off,50,5,261,440,179,0.406,0.685,41
7,28/08/2023,13:20,50,R,3,75,0.8,Off,50,5,194,403,209,0.518,1.077,41
8,28/08/2023,13:21,50,R,5,75,0.8,Off,50,5,247,475,228,0.48,0.923,41
1,28/08/2023,13:21,50,R,5,75,0.8,Off,50,5,243,635,392,0.617,1.613,45
2,28/08/2023,13:52,50,R,5,75,0.8,Off,50,5,196,399,203,0.508,1.035,45
3,28/08/2023,13:52,50,R,7,75,0.8,Off,50,5,229,527,298,0.565,1.301,45
4,28/08/2023,13:53,50,R,6,75,0.8,Off,50,5,227,433,206,0.475,0.907,45
5,28/08/2023,13:53,50,R,8,75,0.8,Off,50,5,213,394,181,0.459,0.849,45
6,28/08/2023,13:54,50,R,6,75,0.8,Off,50,5,214,260,46,0.176,0.214,45
7,28/08/2023,13:55,50,R,8,75,0.8,Off,50,5,204,242,38,0.157,0.186,45
8,28/08/2023,13:56,50,R,8,75,0.8,Off,50,5,212,279,67,0.24,0.316,45
1,28/08/2023,13:56,50,R,4,75,0.8,Off,50,5,220,352,132,0.375,0.6,49
2,28/08/2023,14:25,50,R,3,75,0.8,Off,50,5,226,304,78,0.256,0.345,49
3,28/08/2023,14:26,50,R,3,75,0.8,Off,50,5,243,335,92,0.274,0.378,49
4,28/08/2023,14:26,50,R,3,75,0.8,Off,50,5,245,327,82,0.25,0.334,49
5,28/08/2023,14:26,50,R,7,75,0.8,Off,50,5,215,316,101,0.319,0.469,49
6,28/08/2023,14:27,50,R,7,75,0.8,Off,50,5,233,295,62,0.21,0.266,49
7,28/08/2023,14:27,50,R,5,75,0.8,Off,50,5,242,290,48,0.165,0.198,49
