Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
1,03/07/2023,12:25,50,R,12,75,0.8,Off,50,5,642,1492,850,0.569,1.323,20
2,03/07/2023,12:25,50,R,12,75,0.8,Off,50,5,636,1584,948,0.598,1.49,20
3,03/07/2023,12:28,50,R,12,75,0.8,Off,50,5,874,1801,927,0.514,1.06,20
4,03/07/2023,12:28,50,R,12,75,0.8,Off,50,5,701,1422,721,0.507,1.028,20
5,03/07/2023,12:28,50,R,12,75,0.8,Off,50,5,781,1824,1043,0.571,1.335,20
6,03/07/2023,12:28,50,R,12,75,0.8,Off,50,5,899,1978,1079,0.545,1.2,20
7,03/07/2023,12:29,50,R,12,75,0.8,Off,50,5,901,1932,1031,0.533,1.144,20
8,03/07/2023,12:29,50,R,12,75,0.8,Off,50,5,564,975,411,0.421,0.728,20
1,03/07/2023,13:05,50,R,12,75,0.8,Off,50,5,644,958,314,0.327,0.487,37
2,03/07/2023,13:05,50,R,12,75,0.8,Off,50,5,859,1384,525,0.379,0.611,37
3,03/07/2023,13:05,50,R,12,75,0.8,Off,50,5,790,2117,1327,0.626,1.679,37
4,03/07/2023,13:06,50,R,12,75,0.8,Off,50,5,1164,1999,835,0.417,0.717,37
5,03/07/2023,13:06,50,R,12,75,0.8,Off,50,5,1099,1895,796,0.42,0.724,37
6,03/07/2023,13:06,50,R,12,75,0.8,Off,50,5,1107,1729,622,0.359,0.561,37
7,03/07/2023,13:07,50,R,12,75,0.8,Off,50,5,643,1093,450,0.411,0.699,37
8,03/07/2023,13:07,50,R,12,75,0.8,Off,50,5,960,1723,763,0.442,0.794,37
1,03/07/2023,13:30,50,R,4,75,0.8,Off,50,5,213,434,221,0.509,1.037,41
2,03/07/2023,13:31,50,R,4,75,0.8,Off,50,5,233,459,226,0.492,0.969,41
3,03/07/2023,13:31,50,R,4,75,0.8,Off,50,5,181,377,196,0.519,1.082,41
