Sample #,Date,Time,Mod Int,Mod Wl,Det Gain,Sat Flash Int,Sat PW,Far Red Mode,Far Red Int,Far Red Dur,Fo,Fm,Fv,Fv/m,Fv/o,Temperature
4,03/07/2023,13:31,50,R,3,75,0.8,Off,50,5,288,557,269,0.482,0.934,41
5,03/07/2023,13:32,50,R,3,75,0.8,Off,50,5,217,390,173,0.443,0.797,41
6,03/07/2023,13:32,50,R,4,75,0.8,Off,50,5,181,294,113,0.384,0.624,41
7,03/07/2023,13:33,50,R,4,75,0.8,Off,50,5,209,540,331,0.612,1.583,41
8,03/07/2023,13:33,50,R,4,75,0.8,Off,50,5,258,448,190,0.424,0.736,41
1,03/07/2023,14:49,50,R,3,75,0.8,Off,50,5,240,368,128,0.347,0.533,44
2,03/07/2023,14:49,50,R,3,75,0.8,Off,50,5,172,272,100,0.367,0.581,44
3,03/07/2023,14:49,50,R,3,75,0.8,Off,50,5,197,278,81,0.291,0.411,44
4,03/07/2023,14:50,50,R,5,75,0.8,Off,50,5,222,337,115,0.341,0.518,44
5,03/07/2023,14:52,50,R,3,75,0.8,Off,50,5,207,320,113,0.353,0.545,44
6,03/07/2023,14:52,50,R,3,75,0.8,Off,50,5,221,321,100,0.311,0.452,44
7,03/07/2023,14:53,50,R,5,75,0.8,Off,50,5,251,487,236,0.484,0.94,44
8,03/07/2023,14:53,50,R,5,75,0.8,Off,50,5,178,263,85,0.323,0.477,44
1,03/07/2023,15:15,50,R,3,75,0.8,Off,50,5,252,384,132,0.343,0.523,47
2,03/07/2023,15:15,50,R,5,75,0.8,Off,50,5,286,433,147,0.339,0.513,47
3,03/07/2023,15:16,50,R,3,75,0.8,Off,50,5,206,317,111,0.35,0.538,47
4,03/07/2023,15:17,50,R,5,75,0.8,Off,50,5,198,414,216,0.521,1.09,47
5,03/07/2023,15:17,50,R,4,75,0.8,Off,50,5,234,314,80,0.254,0.341,47
6,03/07/2023,15:18,50,R,4,75,0.8,Off,50,5,267,404,137,0.339,0.513,47
7,03/07/2023,15:18,50,R,3,75,0.8,Off,50,5,264,463,199,0.429,0.753,47
8,03/07/2023,15:19,50,R,3,75,0.8,Off,50,5,218,391,173,0.442,0.793,47
1,03/07/2023,15:44,50,R,2,75,0.8,Off,50,5,213,308,95,0.308,0.446,50
2,03/07/2023,15:44,50,R,2,75,0.8,Off,50,5,230,290,60,0.206,0.26,50
3,03/07/2023,15:44,50,R,2,75,0.8,Off,50,5,215,283,68,0.24,0.316,50
4,03/07/2023,15:45,50,R,2,75,0.8,Off,50,5,201,267,66,0.247,0.328,50
5,03/07/2023,15:45,50,R,3,75,0.8,Off,50,5,197,258,61,0.236,0.309,50
6,03/07/2023,15:46,50,R,3,75,0.8,Off,50,5,217,362,145,0.4,0.668,50
7,03/07/2023,15:46,50,R,3,75,0.8,Off,50,5,240,413,173,0.418,0.72,50
8,03/07/2023,15:47,50,R,3,75,0.8,Off,50,5,242,398,156,0.391,0.644,50
1,03/07/2023,16:10,50,R,2,75,0.8,Off,50,5,292,367,75,0.204,0.256,53
2,03/07/2023,16:11,50,R,2,75,0.8,Off,50,5,198,268,70,0.261,0.353,53
3,03/07/2023,16:12,50,R,2,75,0.8,Off,50,5,321,340,19,0.055,0.059,53
4,03/07/2023,16:12,40,R,2,75,0.8,Off,50,5,217,308,91,0.295,0.419,53
5,03/07/2023,16:13,40,R,2,75,0.8,Off,50,5,277,305,28,0.091,0.101,53
6,03/07/2023,16:14,40,R,2,75,0.8,Off,50,5,237,237,0,0,0,53
7,03/07/2023,16:15,50,R,2,75,0.8,Off,50,5,277,277,0,0,0,53
8,03/07/2023,16:15,50,R,2,75,0.8,Off,50,5,430,433,3,0.006,0.006,53
1,03/07/2023,16:39,50,R,2,75,0.8,Off,50,5,322,322,0,0,0,57
2,03/07/2023,16:39,50,R,2,75,0.8,Off,50,5,356,356,0,0,0,57
3,03/07/2023,16:39,50,R,2,75,0.8,Off,50,5,250,250,0,0,0,57
4,03/07/2023,16:40,50,R,2,75,0.8,Off,50,5,293,293,0,0,0,57
5,03/07/2023,16:41,50,R,2,75,0.8,Off,50,5,310,317,7,0.022,0.022,57
6,03/07/2023,16:42,50,R,2,75,0.8,Off,50,5,332,332,0,0,0,57
7,03/07/2023,16:42,50,R,2,75,0.8,Off,50,5,313,313,0,0,0,57
8,03/07/2023,16:43,50,R,2,75,0.8,Off,50,5,265,265,0,0,0,57
1,03/07/2023,17:05,50,R,2,75,0.8,Off,50,5,291,291,0,0,0,60
2,03/07/2023,17:06,50,R,2,75,0.8,Off,50,5,377,377,0,0,0,60
3,03/07/2023,17:06,50,R,2,75,0.8,Off,50,5,336,336,0,0,0,60
4,03/07/2023,17:06,50,R,2,75,0.8,Off,50,5,214,214,0,0,0,60
5,03/07/2023,17:07,50,R,2,75,0.8,Off,50,5,241,241,0,0,0,60
6,03/07/2023,17:07,50,R,2,75,0.8,Off,50,5,237,237,0,0,0,60
7,03/07/2023,17:08,50,R,2,75,0.8,Off,50,5,352,352,0,0,0,60
8,03/07/2023,17:08,50,R,2,75,0.8,Off,50,5,289,289,0,0,0,60
